"Nombre De La Escuela",Turno,Delegación,Colonia,Sostenimiento,Modalidad,"Total De Alumnos","Alumnos Evaluados","Comunicación: Insuficiente","Comunicación: Elemental","Comunicación: Bueno","Comunicación: Excelente","Matemáticas: Insuficiente","Matemáticas: Elemental","Matemáticas: Bueno","Matemáticas: Excelente"
"CONALEP ALVARO OBREGON II",MATUTINO,"ALVARO OBREGON","LAS AGUILAS",PUBLICO,"TECNICO PROFESIONAL",257,198,"  7.4"," 40.4"," 49.5","  2.7"," 28.7"," 52.8"," 13.8","  4.6"
"CONALEP ALVARO OBREGON II",VESPERTINO,"ALVARO OBREGON","LAS AGUILAS",PUBLICO,"TECNICO PROFESIONAL",183,154," 27.6"," 46.7"," 24.3","  1.3"," 49.7"," 38.8","  8.8","  2.7"
"CONALEP IZTAPALAPA IV",MATUTINO,IZTAPALAPA,"EL MOLINO  IZTAPALAPA",PUBLICO,"TECNICO PROFESIONAL",165,159," 10.8"," 46.5"," 40.8","  1.9"," 33.1"," 42.0"," 19.1","  5.7"
"CONALEP TLAHUAC",VESPERTINO,TLAHUAC,"SELENE AMPLIACION",PUBLICO,"TECNICO PROFESIONAL",262,211," 33.5"," 52.2"," 13.9","  0.5"," 48.6"," 38.1"," 11.9","  1.4"
"CONALEP GUSTAVO A. MADERO II",VESPERTINO,"GUSTAVO A. MADERO","NUEVA ATZACOALCO",PUBLICO,"TECNICO PROFESIONAL",182,152," 33.6"," 35.6"," 28.9","  2.0"," 46.4"," 37.7"," 11.3","  4.6"
"CENTRO DE ESTUDIOS DE BACHILLERATO 4/1 MOISES SAENZ GARZA",MATUTINO,"MIGUEL HIDALGO","MIGUEL HIDALGO",PUBLICO,"BACHILLERATO GENERAL",277,243,"  1.7"," 20.9"," 66.9"," 10.5","  5.4"," 38.6"," 35.7"," 20.3"
"CENTRO DE ESTUDIOS DE BACHILLERATO 4/1 MOISES SAENZ GARZA",VESPERTINO,"MIGUEL HIDALGO","MIGUEL HIDALGO",PUBLICO,"BACHILLERATO GENERAL",268,226,"  7.9"," 28.7"," 57.4","  6.0"," 11.8"," 45.7"," 35.7","  6.8"
"ESCUELA BANCARIA Y COMERCIAL",MATUTINO,CUAUHTEMOC,JUAREZ,PRIVADO,"BACHILLERATO GENERAL",144,139,"  9.6"," 22.8"," 59.6","  8.1"," 16.5"," 41.7"," 27.3"," 14.4"
"UIVERSIDAD DEL VALLE DE MEXICO, CAMPUS TLALPAN",MATUTINO,TLALPAN,TLALPAN,PRIVADO,"BACHILLERATO GENERAL",226,196," 28.4"," 36.1"," 32.0","  3.6"," 28.2"," 39.5"," 21.0"," 11.3"
"UNIVERSIDAD DEL VALLE DE MEXICO, CAMPUS ROMA",MATUTINO,CUAUHTEMOC,"ROMA NORTE",PRIVADO,"BACHILLERATO GENERAL",176,135," 35.7"," 34.9"," 29.5","  0.0"," 36.1"," 40.6"," 17.3","  6.0"
"COLEGIO ALEXANDER DUL",MATUTINO,"ALVARO OBREGON","MERCED GOMEZ",PRIVADO,"BACHILLERATO GENERAL",45,42," 57.9"," 26.3"," 15.8","  0.0"," 32.5"," 60.0","  5.0","  2.5"
"COLEGIO INTERNACIONAL TLALPAN",MATUTINO,TLALPAN,"SAN ANDRES TOTOLTEPEC",PRIVADO,"BACHILLERATO GENERAL",21,20,"  0.0"," 15.0"," 45.0"," 40.0"," 10.0"," 30.0"," 25.0"," 35.0"
"INSTITUTO DE BACHILLERATO NOBEL",MATUTINO,XOCHIMILCO,XALTOCAN,PRIVADO,"BACHILLERATO GENERAL",46,38,"  5.4"," 35.1"," 59.5","  0.0"," 26.3"," 44.7"," 18.4"," 10.5"
"UNIVERSIDAD DEL VALLE DE MEXICO, CAMPUS COYOACAN",MATUTINO,COYOACAN,COYOACAN,PRIVADO,"BACHILLERATO GENERAL",116,53," 57.8"," 28.9"," 13.3","  0.0"," 52.0"," 32.0"," 12.0","  4.0"
"UNIVERSIDAD INSURGENTES SAN ANGEL",MATUTINO,"ALVARO OBREGON","ALVARO OBREGON",PRIVADO,"BACHILLERATO GENERAL",27,25," 60.0"," 28.0"," 12.0","  0.0"," 66.7"," 33.3","  0.0","  0.0"
"ESCUELA SECUNDARIA Y PREPARATORIA JUSTO SIERRA, PLANTEL ARAGON",MATUTINO,"GUSTAVO A. MADERO","GRANJAS MODERNAS",PRIVADO,"BACHILLERATO GENERAL",211,192," 15.5"," 29.4"," 48.7","  6.4"," 35.4"," 38.0"," 19.8","  6.8"
"PREPARATORIA UNIVERSIDAD IBEROAMERICANA CIUDAD DE MEXICO",MATUTINO,"ALVARO OBREGON","LOMAS DE SANTA FE",PRIVADO,"BACHILLERATO GENERAL",144,143,"  2.9"," 12.2"," 58.3"," 26.6","  3.5"," 15.5"," 47.9"," 33.1"
"UNIVERSIDAD ANAHUAC BACHILLERATO CUMBRES LOMAS",MATUTINO,"MIGUEL HIDALGO","MIGUEL HIDALGO",PRIVADO,"BACHILLERATO GENERAL",24,23,"  0.0"," 17.4"," 78.3","  4.3","  4.3"," 30.4"," 39.1"," 26.1"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO 1",MATUTINO,TLAHUAC,SELENE,PUBLICO,"BACHILLERATO TECNOLOGICO",537,471,"  6.7"," 34.9"," 53.0","  5.4","  7.0"," 38.9"," 35.5"," 18.7"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO 1",VESPERTINO,TLAHUAC,SELENE,PUBLICO,"BACHILLERATO TECNOLOGICO",340,313," 15.5"," 37.4"," 43.9","  3.2"," 20.2"," 44.2"," 26.0","  9.6"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO. 004",MATUTINO,AZCAPOTZALCO,"JARDIN AZPEITIA",PUBLICO,"BACHILLERATO TECNOLOGICO",284,259," 13.4"," 42.5"," 42.5","  1.6"," 16.1"," 43.9"," 30.2","  9.8"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO. 30",MATUTINO,"GUSTAVO A. MADERO","SAN PEDRO ZACATENCO",PUBLICO,"BACHILLERATO TECNOLOGICO",341,318," 12.4"," 36.8"," 48.9","  1.9","  8.3"," 35.6"," 39.0"," 17.1"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO. 32",MATUTINO,"VENUSTIANO CARRANZA","ADOLFO LOPEZ MATEOS",PUBLICO,"BACHILLERATO TECNOLOGICO",344,319," 13.4"," 35.0"," 48.1","  3.5"," 24.1"," 44.9"," 24.7","  6.3"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO. 039",MATUTINO,XOCHIMILCO,"TEPEPAN AMPLIACION",PUBLICO,"BACHILLERATO TECNOLOGICO",346,325,"  7.2"," 37.4"," 52.6","  2.8"," 25.5"," 45.3"," 23.3","  5.9"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUMERO 052",MATUTINO,"ALVARO OBREGON","SAN BARTOLO AMEYALCO",PUBLICO,"BACHILLERATO TECNOLOGICO",269,242," 12.1"," 43.8"," 40.0","  4.2"," 32.3"," 44.4"," 21.6","  1.7"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUMERO 052",VESPERTINO,"ALVARO OBREGON","SAN BARTOLO AMEYALCO",PUBLICO,"BACHILLERATO TECNOLOGICO",151,132," 37.6"," 37.6"," 24.8","  0.0"," 53.2"," 40.5","  6.3","  0.0"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM.053",MATUTINO,IZTAPALAPA,IZTAPALAPA,PUBLICO,"BACHILLERATO TECNOLOGICO",207,191," 12.6"," 43.5"," 41.9","  2.1"," 12.1"," 27.9"," 42.6"," 17.4"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM.053",VESPERTINO,IZTAPALAPA,IZTAPALAPA,PUBLICO,"BACHILLERATO TECNOLOGICO",184,175," 16.6"," 44.0"," 36.0","  3.4"," 20.7"," 44.3"," 23.6"," 11.5"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO. 54",MATUTINO,"GUSTAVO A. MADERO","GUSTAVO A. MADERO",PUBLICO,"BACHILLERATO TECNOLOGICO",369,333,"  9.4"," 35.6"," 53.4","  1.6"," 17.4"," 50.0"," 27.1","  5.5"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM.056",MATUTINO,"GUSTAVO A. MADERO","GUSTAVO A. MADERO",PUBLICO,"BACHILLERATO TECNOLOGICO",341,303," 14.8"," 44.4"," 38.7","  2.0"," 22.3"," 46.8"," 26.2","  4.7"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM.056",VESPERTINO,"GUSTAVO A. MADERO","GUSTAVO A. MADERO",PUBLICO,"BACHILLERATO TECNOLOGICO",202,178," 20.1"," 42.0"," 36.2","  1.7"," 39.2"," 39.2"," 16.5","  5.1"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO. 166",MATUTINO,"GUSTAVO A. MADERO","GUSTAVO A. MADERO",PUBLICO,"BACHILLERATO TECNOLOGICO",225,198," 10.6"," 23.2"," 62.1","  4.0","  6.6"," 36.4"," 38.9"," 18.2"
"CETIS 9",MATUTINO,CUAUHTEMOC,CUAUHTEMOC,PUBLICO,"BACHILLERATO TECNOLOGICO",217,193,"  5.2"," 27.6"," 56.8"," 10.4"," 16.8"," 46.1"," 23.0"," 14.1"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM. 003",VESPERTINO,CUAUHTEMOC,CUAUHTEMOC,PUBLICO,"BACHILLERATO TECNOLOGICO",184,162," 15.0"," 43.1"," 41.9","  0.0"," 13.7"," 38.5"," 46.0","  1.9"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS 011",MATUTINO,CUAUHTEMOC,JUAREZ,PUBLICO,"BACHILLERATO TECNOLOGICO",136,128,"  4.8"," 20.0"," 71.2","  4.0","  5.6"," 39.2"," 43.2"," 12.0"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS 011",VESPERTINO,CUAUHTEMOC,JUAREZ,PUBLICO,"BACHILLERATO TECNOLOGICO",84,69," 11.8"," 27.9"," 50.0"," 10.3"," 10.3"," 35.3"," 38.2"," 16.2"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO. 2",VESPERTINO,COYOACAN,"DEL CARMEN",PUBLICO,"BACHILLERATO TECNOLOGICO",230,209," 11.3"," 32.0"," 54.6","  2.1"," 18.5"," 48.8"," 25.4","  7.3"
"CETIS 167",MATUTINO,"MILPA ALTA","PUEBLO SAN SALVADOR CUAUHTENCO",PUBLICO,"BACHILLERATO TECNOLOGICO",304,275,"  8.8"," 32.2"," 54.6","  4.4"," 18.4"," 43.4"," 27.6"," 10.7"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NO. 49",VESPERTINO,XOCHIMILCO,XOCHIMILCO,PUBLICO,"BACHILLERATO TECNOLOGICO",163,157," 10.5"," 41.8"," 45.1","  2.6"," 32.1"," 45.5"," 18.6","  3.8"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUTRIAL Y DE SERVICIOS NUM. 008",VESPERTINO,"MIGUEL HIDALGO","ANAHUAC I",PUBLICO,"BACHILLERATO TECNOLOGICO",63,52," 40.4"," 40.4"," 19.1","  0.0"," 23.5"," 49.0"," 13.7"," 13.7"
"INSTITUTO FUNDACION AZTECA",MATUTINO,"GUSTAVO A. MADERO","SANTA ISABEL TOLA",PRIVADO,"BACHILLERATO TECNOLOGICO",118,116,"  0.9","  4.5"," 64.9"," 29.7","  0.0","  3.5"," 23.9"," 72.6"
"COLEGIO SENDA 2000 FLEMING PLANTEL SAN ANGEL",MATUTINO,"ALVARO OBREGON","SAN ANGEL INN",PRIVADO,"BACHILLERATO TECNOLOGICO",88,67," 24.2"," 56.5"," 17.7","  1.6"," 59.7"," 32.3","  8.1","  0.0"
"INSTITUTO FLEMING PLANTEL TAXQUEÑA",MATUTINO,COYOACAN,"CAMPESTRE CHURUBUSCO",PRIVADO,"BACHILLERATO TECNOLOGICO",40,25," 33.3"," 58.3","  8.3","  0.0"," 44.0"," 56.0","  0.0","  0.0"
"INSTITUTO FLEMING PLANTEL ZARAGOZA",MATUTINO,"VENUSTIANO CARRANZA",PUEBLA,PRIVADO,"BACHILLERATO TECNOLOGICO",44,32," 31.0"," 44.8"," 24.1","  0.0"," 63.3"," 26.7"," 10.0","  0.0"
"UNIVERSIDAD ICEL BACHILLERATO, CAMPUS ZONA ROSA",MATUTINO,CUAUHTEMOC,JUAREZ,PRIVADO,"BACHILLERATO TECNOLOGICO",21,18," 23.5"," 52.9"," 23.5","  0.0"," 33.3"," 55.6"," 11.1","  0.0"
"INSTITUTO TECNOLOGICO ROOSEVEL,PLANTEL VILLA",MATUTINO,"GUSTAVO A. MADERO",INDUSTRIAL,PRIVADO,"BACHILLERATO TECNOLOGICO",185,132," 25.2"," 44.5"," 26.9","  3.4"," 57.3"," 36.3","  6.5","  0.0"
"CENTRO UNIVERSITARIO EN PERIODISMO Y PUBLICIDAD, DIVISION BACHILLERATO",MATUTINO,CUAUHTEMOC,JUAREZ,PRIVADO,"BACHILLERATO TECNOLOGICO",37,28," 48.0"," 32.0"," 16.0","  4.0"," 64.3"," 32.1","  3.6","  0.0"
"INSTITUTO TECNOLOGICO AMERICA LATINA",MATUTINO,"BENITO JUAREZ","BENITO JUAREZ",PRIVADO,"BACHILLERATO TECNOLOGICO",26,25," 29.2"," 41.7"," 29.2","  0.0"," 45.8"," 41.7"," 12.5","  0.0"
"INSTITUTO MEXICANO DE EDUCACION PROFESIONAL",MATUTINO,IZTAPALAPA,"SANTA MARTHA ACATITLA",PRIVADO,"BACHILLERATO TECNOLOGICO",35,23," 54.5"," 27.3"," 13.6","  4.5"," 65.2"," 26.1","  4.3","  4.3"
"BACHILLERATO EN COMUNICACION JRF",MATUTINO,TLALPAN,TLALPAN,PRIVADO,"BACHILLERATO TECNOLOGICO",24,23," 13.6"," 18.2"," 45.5"," 22.7"," 21.7"," 34.8"," 21.7"," 21.7"
"ESCUELA PODOLOGICA DE MEXICO",MATUTINO,"MIGUEL HIDALGO",POPOTLA,PRIVADO,"TECNICO PROFESIONAL",11,9," 12.5"," 62.5"," 25.0","  0.0"," 44.4"," 44.4"," 11.1","  0.0"
"ESCUELA PALMER DE MASAJE INTEGRAL Y CIENCIAS QUIROFISICAS",MATUTINO,CUAUHTEMOC,"ROMA NORTE",PRIVADO,"TECNICO PROFESIONAL",6,4,"  0.0"," 75.0"," 25.0","  0.0","  0.0"," 75.0","  0.0"," 25.0"
"INSTITUTO BONAMPAK",VESPERTINO,TLALPAN,TLALPAN,PRIVADO,"BACHILLERATO TECNOLOGICO",30,28," 11.5"," 34.6"," 53.8","  0.0"," 33.3"," 29.6"," 14.8"," 22.2"
"CECYT 1 GONZALO VAZQUEZ VELA",MATUTINO,"GUSTAVO A. MADERO","SAN JUAN DE ARAGON EJIDO",PUBLICO,"BACHILLERATO TECNOLOGICO",565,319,"  3.3"," 21.5"," 65.1"," 10.1","  1.0"," 14.3"," 36.0"," 48.7"
"CECYT 1 GONZALO VAZQUEZ VELA",VESPERTINO,"GUSTAVO A. MADERO","SAN JUAN DE ARAGON EJIDO",PUBLICO,"BACHILLERATO TECNOLOGICO",407,172,"  3.1"," 24.2"," 65.8","  6.8","  0.6"," 13.8"," 33.5"," 52.1"
"CECYT 2 MIGUEL BERNARD",MATUTINO,"MIGUEL HIDALGO","LOMAS DE SOTELO",PUBLICO,"BACHILLERATO TECNOLOGICO",669,496,"  5.7"," 21.4"," 62.8"," 10.1","  1.9"," 17.4"," 38.2"," 42.6"
"CECYT 2 MIGUEL BERNARD",VESPERTINO,"MIGUEL HIDALGO","LOMAS DE SOTELO",PUBLICO,"BACHILLERATO TECNOLOGICO",560,366,"  8.7"," 30.4"," 57.3","  3.6","  3.2"," 26.1"," 41.1"," 29.6"
"CECYT 4 LAZARO CARDENAS",MATUTINO,"ALVARO OBREGON","BELEN DE LAS FLORES",PUBLICO,"BACHILLERATO TECNOLOGICO",645,478,"  9.8"," 32.4"," 54.0","  3.7","  6.3"," 30.3"," 33.3"," 30.1"
"CECYT 4 LAZARO CARDENAS",VESPERTINO,"ALVARO OBREGON","BELEN DE LAS FLORES",PUBLICO,"BACHILLERATO TECNOLOGICO",529,304," 14.6"," 32.7"," 46.6","  6.1","  6.4"," 34.9"," 30.2"," 28.5"
"CECYT 5 BENITO JUAREZ",VESPERTINO,IZTAPALAPA,"SANTA MARIA AZTAHUACAN",PUBLICO,"BACHILLERATO TECNOLOGICO",374,224,"  8.3"," 21.2"," 64.8","  5.7","  9.5"," 27.1"," 36.7"," 26.7"
"CECYT 6 MIGUEL OTHON DE MENDIZABAL",MATUTINO,AZCAPOTZALCO,"JARDIN AZPEITIA",PUBLICO,"BACHILLERATO TECNOLOGICO",560,503,"  0.4","  5.7"," 67.1"," 26.8","  0.8","  7.0"," 24.8"," 67.5"
"CECYT 7 CUAUHTEMOC",MATUTINO,"GUSTAVO A. MADERO","SAN JUAN DE ARAGON",PUBLICO,"BACHILLERATO TECNOLOGICO",732,548,"  3.0"," 20.3"," 65.9"," 10.9","  1.5"," 17.4"," 33.8"," 47.3"
"CECYT 8 NARCISO BASSOLS",VESPERTINO,"MIGUEL HIDALGO",POPOTLA,PUBLICO,"BACHILLERATO TECNOLOGICO",500,306,"  9.8"," 24.7"," 58.8","  6.8","  2.0"," 21.1"," 41.8"," 35.1"
"CECYT 11 WILFRIDO MASSIEU",MATUTINO,CUAUHTEMOC,CENTRO,PUBLICO,"BACHILLERATO TECNOLOGICO",796,615,"  3.3"," 19.1"," 68.7","  8.9","  1.3"," 17.2"," 36.1"," 45.4"
"CECYT 12 JOSE MARIA MORELOS",MATUTINO,CUAUHTEMOC,"SANTA MARIA INSURGENTES",PUBLICO,"BACHILLERATO TECNOLOGICO",624,490,"  3.1"," 26.5"," 65.0","  5.4","  4.1"," 39.0"," 39.8"," 17.0"
"CECYT 12 JOSE MARIA MORELOS",VESPERTINO,CUAUHTEMOC,"SANTA MARIA INSURGENTES",PUBLICO,"BACHILLERATO TECNOLOGICO",427,289,"  3.6"," 21.5"," 70.3","  4.7","  5.0"," 38.7"," 38.4"," 17.9"
"CECYT 13 RICARDO FLORES MAGON",MATUTINO,COYOACAN,"PASEOS DE TAXQUEÑA",PUBLICO,"BACHILLERATO TECNOLOGICO",753,652,"  0.9","  5.3"," 71.9"," 21.9","  0.9"," 12.0"," 38.3"," 48.8"
"CECYT 13 RICARDO FLORES MAGON",VESPERTINO,COYOACAN,"PASEOS DE TAXQUEÑA",PUBLICO,"BACHILLERATO TECNOLOGICO",487,270,"  2.0"," 18.3"," 69.4"," 10.3","  5.0"," 24.4"," 35.5"," 35.1"
"CECYT 14 LUIS ENRIQUE ERRO",VESPERTINO,"VENUSTIANO CARRANZA",MICHOACANA,PUBLICO,"BACHILLERATO TECNOLOGICO",310,163,"  1.9"," 27.9"," 64.9","  5.2","  7.4"," 41.2"," 34.5"," 16.9"
"CET 17 WALTER CROSS BUCHANAN",MATUTINO,"GUSTAVO A. MADERO","SAN JUAN DE ARAGON",PUBLICO,"BACHILLERATO TECNOLOGICO",518,359," 10.3"," 24.8"," 60.1","  4.8","  5.4"," 28.4"," 27.8"," 38.4"
"COLEGIO VISTA HERMOSA",MATUTINO,"CUAJIMALPA DE MORELOS","LOMAS DE VISTA HERMOSA",PRIVADO,"BACHILLERATO GENERAL",150,150,"  2.7"," 14.1"," 59.1"," 24.2","  1.4"," 21.6"," 34.5"," 42.6"
"TECNOLOGICO DE MONTERREY, CAMPUS CIUDAD DE MEXICO",MATUTINO,TLALPAN,"EJIDOS DE HUIPULCO",PRIVADO,"BACHILLERATO GENERAL",616,609,"  0.2","  1.5"," 44.2"," 54.1","  0.2","  1.8"," 17.3"," 80.8"
"CLAUDINA THEVENET",MATUTINO,"ALVARO OBREGON",COVE,PRIVADO,"BACHILLERATO GENERAL",33,31,"  0.0"," 36.7"," 53.3"," 10.0"," 13.3"," 56.7"," 23.3","  6.7"
"ITESM CAMPUS SANTA FE",MATUTINO,"ALVARO OBREGON","ALVARO OBREGON",PRIVADO,"BACHILLERATO GENERAL",289,284,"  2.8"," 15.5"," 54.1"," 27.6","  1.4","  8.5"," 37.0"," 53.2"
"CETIS 033",MATUTINO,AZCAPOTZALCO,"PRADOS DEL ROSARIO",PUBLICO,"BACHILLERATO TECNOLOGICO",421,380," 12.6"," 39.8"," 46.0","  1.6"," 20.0"," 48.3"," 28.3","  3.5"
PREPARATE,MATUTINO,"GUSTAVO A. MADERO","GUSTAVO A. MADERO",PUBLICO,"BACHILLERATO GENERAL",16,9," 22.2"," 22.2"," 55.6","  0.0"," 33.3"," 33.3"," 33.3","  0.0"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM.031",MATUTINO,IZTACALCO,IZTACALCO,PUBLICO,"BACHILLERATO TECNOLOGICO",505,241,"  6.7"," 35.0"," 55.4","  2.9","  7.9"," 35.8"," 37.5"," 18.8"
"CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM.031",VESPERTINO,IZTACALCO,IZTACALCO,PUBLICO,"BACHILLERATO TECNOLOGICO",427,280," 13.6"," 43.6"," 41.4","  1.5"," 23.1"," 48.0"," 24.9","  4.0"
"BACHILLERATO DE LA UNIVERSIDAD DE LA REPUBLICA MEXICANA",MATUTINO,IZTAPALAPA,"EL VERGEL",PRIVADO,"BACHILLERATO GENERAL",248,193," 47.1"," 39.2"," 13.2","  0.5"," 48.1"," 35.8"," 13.4","  2.7"
"UNIVERSIDAD ANAHUAC, BACHILLERATO CEYCA",MATUTINO,TLALPAN,"SAN PEDRO MARTIR",PRIVADO,"BACHILLERATO GENERAL",143,56,"  5.4"," 12.5"," 69.6"," 12.5","  7.1"," 26.8"," 25.0"," 41.1"
"UNIVERSIDAD ANAHUAC, BACHILLERATO CEYCA",VESPERTINO,TLALPAN,"SAN PEDRO MARTIR",PRIVADO,"BACHILLERATO GENERAL",25,24,"  0.0"," 16.7"," 50.0"," 33.3"," 25.0"," 20.8"," 41.7"," 12.5"
"UNIVERSIDAD TECNOLOGICA DE MEXICO",MATUTINO,IZTAPALAPA,"GRANJAS ESMERALDA",PRIVADO,"BACHILLERATO GENERAL",438,135," 17.3"," 34.6"," 44.4","  3.8"," 27.8"," 31.6"," 28.6"," 12.0"
"UNIVERSIDAD LATINA",MATUTINO,CUAUHTEMOC,"ROMA NORTE",PRIVADO,"BACHILLERATO GENERAL",74,70," 32.8"," 48.4"," 17.2","  1.6"," 43.3"," 38.8"," 14.9","  3.0"
